,0
0,6987.6723
1,5877.9167
2,328.6474
3,40.29720000000001
4,41117.1646
5,4694.016100000001
6,300.5254
7,6802.804600000003
8,3053.0215999999996
9,8584.5499
10,1305.4795
11,830.3297999999999
12,807.6884
13,1789.3787
14,4418.0602
15,3116.3233
16,4686.4256000000005
17,6891.802500000001
18,1042.5311
19,2277.3444999999997
20,5999.1795
21,24766.5847
22,36456.5326
23,11137.542600000006
24,1179.7608
25,4413.697899999999
26,2097.9353
27,19317.065099999996
28,7206.448699999998
29,5043.647100000001
30,10784.592799999995
31,22968.741500000004
32,5472.116400000001
33,41046.043600000005
34,84894.9828
35,14734.494600000002
36,8340.335500000001
37,1384.3138
38,2635.6863999999996
39,47698.9527
40,12148.1745
41,577.6109000000001
42,7695.6153
43,7441.518899999999
44,10871.621500000001
45,4602.136200000001
46,1668.9505
47,115.7934
48,5217.2778
49,20150.991199999997
50,5378.664
51,13125.381799999997
52,21792.7648
53,8638.8613
54,7287.0962
55,13577.3504
56,177497.34669999994
57,111713.60550000002
58,9998.6431
59,4723.4306
60,11201.365399999999
61,13487.545900000001
62,47376.9469
63,13095.9918
64,14431.173199999997
65,54030.2044
66,167929.81769999999
67,22734.533199999998
68,104775.5085
69,292276.0418
70,4101.412099999999
71,234.10399999999998
72,99.3588
73,34.2163
74,14607.266099999997
75,5961.225199999998
76,2273.6587000000004
77,2760.9895999999994
78,3665.7579
79,4421.3642
80,2398.9494
81,1944.5919
82,690.2592999999999
83,3442.1681999999996
84,7666.0699
85,4986.756
86,11573.6225
87,10902.467100000002
88,2431.0132000000003
89,8675.0065
90,4610.616900000001
91,35480.04629999999
92,36410.5617
93,8114.374599999999
94,719.5091
95,1397.9875000000002
96,4070.3499
97,27146.3679
98,2856.9428000000007
99,9534.3062
100,8577.917599999997
101,39724.149699999994
102,9252.5398
103,27314.3655
104,90481.8846
105,4839.015700000001
106,250.5631
107,18.7958
108,49.344600000000014
109,6292.721799999998
110,2201.7414000000003
111,76.2672
112,531.5521000000001
113,459.233
114,712.5592999999999
115,296.8596
116,305.826
117,181.3598
118,568.4911000000001
119,1313.3784
120,751.4136
121,1715.4543000000003
122,2366.2969000000003
123,560.1442999999999
124,941.0339999999999
125,1013.4499000000001
126,6743.325500000001
127,4573.7044000000005
128,1530.3075999999999
129,372.1963
130,609.1501
131,227.2441
132,2292.6717000000003
133,757.0695
134,290.3819
135,1339.8446000000004
136,2141.1904
137,890.0169000000001
138,3774.914
139,8595.44
140,37214.1135
141,4365.6260999999995
142,1222.2586999999999
143,4.5582
144,119647.0089
145,32364.852000000006
146,745.5542999999999
147,31139.6975
148,26827.0922
149,16393.5078
150,4763.058000000001
151,1420.4350000000002
152,2022.7195000000002
153,5639.9604
154,25633.56
155,12273.284000000001
156,23367.268800000005
157,46868.305700000004
158,11664.0187
159,15982.2148
160,26847.9058
161,113162.18149999999
162,176800.40680000006
163,37727.135500000004
164,2080.0427999999997
165,5583.825000000001
166,8785.915099999998
167,70509.07630000002
168,25186.297399999996
169,24651.8123
170,78717.07050000003
171,139426.93320000006
172,9717.261900000001
173,223226.61400000003
174,358653.0571
175,17493.937899999997
176,7453.1208
177,2426.1079
178,2915.2327999999998
179,63100.37230000001
180,14999.3637
181,1207.7047000000002
182,16717.301
183,7578.117100000001
184,9124.822900000003
185,5033.1684
186,2472.1134999999995
187,1237.437
188,5286.010699999999
189,21017.220699999998
190,6701.9202
191,20754.961499999998
192,54398.91020000001
193,13154.422600000002
194,18778.788200000003
195,25194.660899999995
196,224936.31230000008
197,134582.79080000002
198,19298.2291
199,4242.402999999999
200,8844.913399999998
201,4997.789699999999
202,66997.05399999999
203,30264.832200000004
204,23004.433899999996
205,80145.43609999998
206,227467.56569999998
207,19876.7503
208,195100.882
209,336474.36830000003
210,4995.035699999999
211,311.3839
212,77.7311
213,4.7038
214,22761.563899999997
215,7734.1429
216,266.1162
217,1552.6972
218,2838.6055000000006
219,6916.420000000001
220,1169.2531
221,430.7538
222,126.2133
223,1238.6531999999997
224,11838.958600000002
225,6741.638700000001
226,9730.409299999996
227,12419.206900000001
228,3639.8002
229,10704.452099999999
230,7964.812800000001
231,58145.00189999999
232,48620.591
233,9258.367999999999
234,4163.1065
235,4873.3727
236,1045.9837
237,22151.523699999994
238,9605.212099999999
239,22433.630500000003
240,28321.349900000005
241,63460.80630000001
242,35100.99189999999
243,85692.1752
244,123770.22090000001
245,504679.1494
246,7448.4101
247,3479.572999999999
248,25.3316
249,796761.6643999999
250,244858.6282
251,5433.842799999999
